matière,questions,Réponse 1,Réponse 2,Réponse 3,Réponse 4,bonne réponse
math,Si j’ai 5 pommes et que je vends chaque pommes pour 5e combien d’argent je vais gagner ?,25,50,30,15,1
math,Pour faire un gâteau on a besoin de 6 cuillères de 6g de sucre quelle quantité de sucre cela fait-il ?,60,26,36,32,3
math,Si j’ai la moitié de l’âge de mon père et qu’il a 50 ans quel âge j’aurai quand il aura 100 ans ?,50,95,25,75,4
math,Un agriculteur à 4 vaches chaque vaches à 2 veaux plus tard chacun de ces veaux auront 3 veaux à leur tour combien de vaches cela fait en tout ?,36,9,10,24,1
math,Un gâteau est coupé en 8 parts il y a 2 enfants combien de parts auront chaque enfants ?,8,4,1,2,2
math,Combien de billets de 5e faut-il pour faire 100e ?,25,20,5,15,2
math,Un mètre est égale à :,10cm,100cm,1000cm,0.1cm,2
math,Un angle droit est : ,une ligne droite,l’inverse d’un angle gauche,une ligne courbée,l’angle d’une équerre,4
math,Une journée dure :,3600 secondes,60 000 secondes,24 000 secondes,1280 secondes,1
math,Si 25% d’une classe de 8 élèves ont les yeux bleus combien de personnes ont les yeux bleus ?,4,3,2,1,3
francais,Choisis l'adjectif qui convient : des billes,blanche,noires,noir,blenches,2
francais,Quel est l'intrus ?,manger,lancer,boire,sévère,4
francais,Choisis la bonne terminaison du verbe au présent de l'indicatif dans la phrase : Elle (se marier) la semaine prochaine,se marie,se marient,se maries,se mariet,1
francais,Que donne 'il pouvait' au passé simple ?,il pus,il put,il pues,il puent,2
francais,Qui a écrit la fable nommé 'la cigale et la fourmie' ?,Emile Zola,Victor Hugo,Zadig & Voltaire,Jean de La Fontaine,4
francais,Remplace les '...' par le mot qui convient : ... cartable,sont,son,sons,sonts,2
francais,Comment se conjugue le verbe faire au passé composé et à la troisème personne du singulier ? Il ...,fait,a fais,à fais,a fait,4
francais,Quelle est la bonne orthographe ? Une ...,dictée,dicté,dictées,dictet,1
francais,Par quoi se terminent les verbes du premier groupe ?,dre,ir,oire,er,4
francais,Qui est le COD dans la phrase 'Julien attend son frère' ?,Julien,attend,son frère,il n'y en a pas,3
histoire,Quand l'école est-elle devenue gratuite et laïque et obligatoire en primaire ?,1914,1882,1792,1982,2
histoire,A quelle occasion la tour Eiffel a-t-elle été construite ?,Pour donner un symbole à la France,Pour remercier le président,Pour une exposition universelle,Pour faire beau,3
histoire,En quelle année les femmes ont-elles eu le droit de vote ?,1945,1918,1944,1999,3
histoire,En quelle année le mur de Berlin est-il détruit ?,1989,1945,1991,Il existe toujours,1
histoire,Qu'entraîne la convertion de Clovis ?,Plus de revenus,Plus de territoire,La conversion de son peuple,Ne plus avoir de couronne,3
histoire,Où est sacré Charlemagne ?,Aix la Chapelle,Paris,Rome,Athène,3
histoire,De quelle famille fait parti Clovis ?,Les Bourbons,Les mérovingiens,Les Capétiens,Les Carolingiens,2
histoire,Qu'est ce qui sert de liminite chrnologique à la fin de la préhistoire ?,La découverte des Amériques,L'invention de l'écriture,L'invention de l'agriculture,La domestication du feu,2
histoire,Quand à été inventée l'agriculture ?,Environ 8 000 avant Jésus-Christ,En l'an 1,Environ 350 avant Jésus-Christ,En 750 après Jésus-Christ,1
histoire,Dans quel pays trouve-t-on les hiéroglyphes ?,Italie,Egypte,Grèce,France,2
geographie,Dans quel pays se trouve la ville de Lyon ?,Italie,Belgique,Allemagne,France,4
geographie,Combien y à-t-il de couleurs sur la drapeau canadien ?,1,2,3,4,2
geographie,Quel est le plus long fleuve français ?,La Loire,Le Rhône,La Rhin,La Meuse,3
